Genus,Specie_name,main,Clade,Subfam,Family,Annot_level_1,Annot_level_2,Annot_level_3,Annot_level_4
Cochemiea,Cochemiea_poselgeri,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Cochemiea
Cochemiea,Cochemiea_schumannii,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Cochemiea
Cochemiea,Cochemiea_tetrancistra,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Cochemiea
Cochemiea,Cochemiea_thornberi,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Cochemiea
Cochemiea,Cochemiea_goodridgei,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Cochemiea
Cochemiea,Cochemiea_insularis,Cacteae,Cacteae,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Cacteae,Cochemiea
Coleocephalocereus,Coleocephalocereus_aureus,Core II,BCT,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae II,BCT
Coleocephalocereus,Coleocephalocereus_fluminensis,Core II,BCT,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae II,BCT
Coleocephalocereus,Coleocephalocereus_goebelianus,Core II,BCT,Cactoideae,Cactaceae,Cactaceae,Cactoideae,Core Cactoideae II,BCT
Consolea,Consolea_falcata,Opuntieae,Opuntieae,Opuntioideae,Cactaceae,Cactaceae,Opuntioideae,,Opuntieae
Consolea,Consolea_moniliformis,Opuntieae,Opuntieae,Opuntioideae,Cactaceae,Cactaceae,Opuntioideae,,Opuntieae
Consolea,Consolea_nashii,Opuntieae,Opuntieae,Opuntioideae,Cactaceae,Cactaceae,Opuntioideae,,Opuntieae
Consolea,Consolea_rubescens,Opuntieae,Opuntieae,Opuntioideae,Cactaceae,Cactaceae,Opuntioideae,,Opuntieae
Consolea,Consolea_spinosissima,Opuntieae,Opuntieae,Opuntioideae,Cactaceae,Cactaceae,Opuntioideae,,Opuntieae
Copiapoa,Copiapoa_angustiflora,Copiapoa,Copiapoa,Cactoideae,Cactaceae,Cactaceae,Cactoideae,,Copiapoa
Copiapoa,Copiapoa_atacamensis,Copiapoa,Copiapoa,Cactoideae,Cactaceae,Cactaceae,Cactoideae,,Copiapoa
Copiapoa,Copiapoa_australis,Copiapoa,Copiapoa,Cactoideae,Cactaceae,Cactaceae,Cactoideae,,Copiapoa
Copiapoa,Copiapoa_calderana,Copiapoa,Copiapoa,Cactoideae,Cactaceae,Cactaceae,Cactoideae,,Copiapoa
Copiapoa,Copiapoa_cinerascens,Copiapoa,Copiapoa,Cactoideae,Cactaceae,Cactaceae,Cactoideae,,Copiapoa
Copiapoa,Copiapoa_cinerea,Copiapoa,Copiapoa,Cactoideae,Cactaceae,Cactaceae,Cactoideae,,Copiapoa
Copiapoa,Copiapoa_coquimbana,Copiapoa,Copiapoa,Cactoideae,Cactaceae,Cactaceae,Cactoideae,,Copiapoa
Copiapoa,Copiapoa_dealbata,Copiapoa,Copiapoa,Cactoideae,Cactaceae,Cactaceae,Cactoideae,,Copiapoa
Copiapoa,Copiapoa_decorticans,Copiapoa,Copiapoa,Cactoideae,Cactaceae,Cactaceae,Cactoideae,,Copiapoa
